SECTOR,DATE,FACT,Value,Location,SOURCE,TAGS,Link
Basic Assistance,2014,Lebanon Survival Minimum Expenditure Basket (SMEB),87 $/capita/month,National,Cash Working Group,Lebanon Survival Minimum Expenditure Basket (SMEB),<a href=http://data.unhcr.org/syrianrefugees/download.php?id=6327>link</a>
Education,2015,number of public schools operating second shifts (for Syrian refugees) for the 2015-16 school year,238,National,MEHE,"Education, schools, second shift",
Food Security,2016,WFP food voucher amount6 ,27 $/person/month,National, World Food Programme January 2016 Update,Food assistance package evouchers,<a href=http://data.unhcr.org/syrianrefugees/download.php?id=10220>link</a>
Health,2016,Number of Primary Health Care Centers in MoPH network,222,National,MoPH,"Health, PHC, MOPH",
Registration,31-Mar-16,Total registered Syrian refugees,"1,048,275",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/27/2012,Total registered Syrian refugees,"6,290",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/10/2012,Total registered Syrian refugees,"6,133",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/17/2012,Total registered Syrian refugees,"6,522",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/24/2012,Total registered Syrian refugees,"6,916",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/2/2012,Total registered Syrian refugees,"7,058",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/7/2012,Total registered Syrian refugees,"7,088",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/16/2012,Total registered Syrian refugees,"7,913",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/22/2012,Total registered Syrian refugees,"8,610",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/29/2012,Total registered Syrian refugees,"9,106",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/18/2012,Total registered Syrian refugees,"10,532",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/20/2012,Total registered Syrian refugees,"10,704",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/23/2012,Total registered Syrian refugees,"10,804",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/24/2012,Total registered Syrian refugees,"11,174",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/26/2012,Total registered Syrian refugees,"12,309",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/27/2012,Total registered Syrian refugees,"12,671",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/30/2012,Total registered Syrian refugees,"13,405",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/3/2012,Total registered Syrian refugees,"13,582",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/8/2012,Total registered Syrian refugees,"13,672",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/11/2012,Total registered Syrian refugees,"14,514",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/16/2012,Total registered Syrian refugees,"15,074",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/17/2012,Total registered Syrian refugees,"15,466",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/24/2012,Total registered Syrian refugees,"15,873",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/31/2012,Total registered Syrian refugees,"17,041",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/1/2012,Total registered Syrian refugees,"17,267",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/7/2012,Total registered Syrian refugees,"19,068",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/14/2012,Total registered Syrian refugees,"20,702",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/21/2012,Total registered Syrian refugees,"22,530",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/27/2012,Total registered Syrian refugees,"24,024",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/29/2012,Total registered Syrian refugees,"25,411",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/5/2012,Total registered Syrian refugees,"26,183",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/6/2012,Total registered Syrian refugees,"26,905",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/12/2012,Total registered Syrian refugees,"28,477",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/18/2012,Total registered Syrian refugees,"29,986",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/20/2012,Total registered Syrian refugees,"31,004",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/24/2012,Total registered Syrian refugees,"31,004",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/25/2012,Total registered Syrian refugees,"31,596",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/30/2012,Total registered Syrian refugees,"32,796",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/31/2012,Total registered Syrian refugees,"33,382",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/1/2012,Total registered Syrian refugees,"33,664",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/3/2012,Total registered Syrian refugees,"33,871",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/6/2012,Total registered Syrian refugees,"34,358",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/7/2012,Total registered Syrian refugees,"34,742",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/8/2012,Total registered Syrian refugees,"35,141",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/9/2012,Total registered Syrian refugees,"35,686",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/10/2012,Total registered Syrian refugees,"36,040",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/14/2012,Total registered Syrian refugees,"36,927",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/15/2012,Total registered Syrian refugees,"37,240",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/16/2012,Total registered Syrian refugees,"37,541",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/21/2012,Total registered Syrian refugees,"38,239",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/22/2012,Total registered Syrian refugees,"39,194",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/23/2012,Total registered Syrian refugees,"39,506",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/24/2012,Total registered Syrian refugees,"39,826",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/27/2012,Total registered Syrian refugees,"40,232",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/28/2012,Total registered Syrian refugees,"41,090",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/29/2012,Total registered Syrian refugees,"41,949",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/30/2012,Total registered Syrian refugees,"42,947",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/31/2012,Total registered Syrian refugees,"43,760",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/3/2012,Total registered Syrian refugees,"44,629",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/4/2012,Total registered Syrian refugees,"45,321",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/5/2012,Total registered Syrian refugees,"46,177",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/6/2012,Total registered Syrian refugees,"46,509",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/7/2012,Total registered Syrian refugees,"46,628",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/10/2012,Total registered Syrian refugees,"47,330",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/11/2012,Total registered Syrian refugees,"48,072",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/12/2012,Total registered Syrian refugees,"48,925",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/13/2012,Total registered Syrian refugees,"49,653",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/14/2012,Total registered Syrian refugees,"50,440",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/17/2012,Total registered Syrian refugees,"51,121",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/18/2012,Total registered Syrian refugees,"51,665",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/19/2012,Total registered Syrian refugees,"52,410",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/20/2012,Total registered Syrian refugees,"53,233",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/21/2012,Total registered Syrian refugees,"53,731",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/24/2012,Total registered Syrian refugees,"54,456",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/25/2012,Total registered Syrian refugees,"55,298",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/26/2012,Total registered Syrian refugees,"56,225",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/27/2012,Total registered Syrian refugees,"56,947",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/28/2012,Total registered Syrian refugees,"57,335",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/1/2012,Total registered Syrian refugees,"58,318",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/2/2012,Total registered Syrian refugees,"59,172",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/3/2012,Total registered Syrian refugees,"60,089",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/4/2012,Total registered Syrian refugees,"61,003",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/5/2012,Total registered Syrian refugees,"61,341",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/8/2012,Total registered Syrian refugees,"62,109",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/9/2012,Total registered Syrian refugees,"62,997",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/10/2012,Total registered Syrian refugees,"63,916",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/11/2012,Total registered Syrian refugees,"64,836",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/12/2012,Total registered Syrian refugees,"65,801",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/15/2012,Total registered Syrian refugees,"66,660",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/16/2012,Total registered Syrian refugees,"67,848",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/17/2012,Total registered Syrian refugees,"69,095",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/18/2012,Total registered Syrian refugees,"70,440",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/19/2012,Total registered Syrian refugees,"71,592",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/23/2012,Total registered Syrian refugees,"72,301",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/24/2012,Total registered Syrian refugees,"73,393",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/25/2012,Total registered Syrian refugees,"74,090",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/29/2012,Total registered Syrian refugees,"74,720",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/30/2012,Total registered Syrian refugees,"75,668",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,10/31/2012,Total registered Syrian refugees,"77,014",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/1/2012,Total registered Syrian refugees,"77,734",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/2/2012,Total registered Syrian refugees,"79,356",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/5/2012,Total registered Syrian refugees,"80,357",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/6/2012,Total registered Syrian refugees,"81,605",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/7/2012,Total registered Syrian refugees,"82,690",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/8/2012,Total registered Syrian refugees,"83,860",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/9/2012,Total registered Syrian refugees,"84,772",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/12/2012,Total registered Syrian refugees,"85,661",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/13/2012,Total registered Syrian refugees,"87,021",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/14/2012,Total registered Syrian refugees,"88,794",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/16/2012,Total registered Syrian refugees,"90,292",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/19/2012,Total registered Syrian refugees,"91,836",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/20/2012,Total registered Syrian refugees,"93,110",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/21/2012,Total registered Syrian refugees,"94,603",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/23/2012,Total registered Syrian refugees,"95,452",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/26/2012,Total registered Syrian refugees,"97,152",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/27/2012,Total registered Syrian refugees,"99,063",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/28/2012,Total registered Syrian refugees,"100,726",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/29/2012,Total registered Syrian refugees,"102,369",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/30/2012,Total registered Syrian refugees,"103,160",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/3/2012,Total registered Syrian refugees,"104,583",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/4/2012,Total registered Syrian refugees,"106,130",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/5/2012,Total registered Syrian refugees,"107,506",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/6/2012,Total registered Syrian refugees,"109,081",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/7/2012,Total registered Syrian refugees,"110,236",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/10/2012,Total registered Syrian refugees,"111,865",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/11/2012,Total registered Syrian refugees,"113,545",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/12/2012,Total registered Syrian refugees,"115,212",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/13/2012,Total registered Syrian refugees,"116,686",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/14/2012,Total registered Syrian refugees,"118,020",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/18/2012,Total registered Syrian refugees,"119,596",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/19/2012,Total registered Syrian refugees,"120,989",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/20/2012,Total registered Syrian refugees,"122,366",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/24/2012,Total registered Syrian refugees,"123,224",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/26/2012,Total registered Syrian refugees,"124,945",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/27/2012,Total registered Syrian refugees,"126,724",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/28/2012,Total registered Syrian refugees,"128,314",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/31/2012,Total registered Syrian refugees,"129,106",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/2/2013,Total registered Syrian refugees,"130,799",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/3/2013,Total registered Syrian refugees,"132,354",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/4/2013,Total registered Syrian refugees,"133,876",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/7/2013,Total registered Syrian refugees,"135,361",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/8/2013,Total registered Syrian refugees,"137,065",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/9/2013,Total registered Syrian refugees,"138,213",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/10/2013,Total registered Syrian refugees,"139,275",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/11/2013,Total registered Syrian refugees,"140,650",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/14/2013,Total registered Syrian refugees,"142,360",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/15/2013,Total registered Syrian refugees,"143,898",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/16/2013,Total registered Syrian refugees,"145,689",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/17/2013,Total registered Syrian refugees,"147,658",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/18/2013,Total registered Syrian refugees,"149,606",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/21/2013,Total registered Syrian refugees,"151,602",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/22/2013,Total registered Syrian refugees,"153,505",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/23/2013,Total registered Syrian refugees,"155,390",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/25/2013,Total registered Syrian refugees,"157,139",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/28/2013,Total registered Syrian refugees,"158,973",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/29/2013,Total registered Syrian refugees,"161,067",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/30/2013,Total registered Syrian refugees,"163,036",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/31/2013,Total registered Syrian refugees,"165,003",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/1/2013,Total registered Syrian refugees,"166,173",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/4/2013,Total registered Syrian refugees,"168,092",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/5/2013,Total registered Syrian refugees,"170,273",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/6/2013,Total registered Syrian refugees,"172,361",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/7/2013,Total registered Syrian refugees,"174,462",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/8/2013,Total registered Syrian refugees,"176,849",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/11/2013,Total registered Syrian refugees,"178,994",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/12/2013,Total registered Syrian refugees,"181,117",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/13/2013,Total registered Syrian refugees,"182,938",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
